#,Category,Video name,x0,y0,x1,y1
1,1,Video10_2,0,100427,9154,2440
2,1,Video12_2,0,113302,3807,2176
3,1,Video13_2,0,178403,0,599
4,1,Video140_2,0,204308,0,585
5,1,Video143_2,0,121529,0,3567
6,1,Video147_2,0,123504,20,225
7,1,Video14_2,0,79705,60190,41981
8,1,Video161_2,0,127310,0,3258
9,1,Video162_2,0,158050,6537,262
10,1,Video170_2,0,128132,0,1731
11,1,Video171_2,0,122892,0,639
12,1,Video172_2,0,117880,0,639
13,1,Video179_2,0,162558,924,10
14,1,Video17_2,0,117870,0,639
15,1,Video20_2,0,100671,8142,316
16,1,Video21_2,0,84188,0,395
17,1,Video235_2,0,72270,0,329
18,1,Video25_2,0,112478,6780,32409
19,1,Video29_2,0,75743,15759,7505
20,1,Video2_2,0,110952,11040,334
21,1,Video30_2,0,128940,128164,4312
22,1,Video31_2,0,171725,0,637
23,1,Video32_2,0,86346,0,4698
24,1,Video33_2,0,228890,0,639
25,1,Video3_2,0,86453,0,4680
26,1,Video40_2,0,112180,0,16671
27,1,Video4_2,0,124396,0,463
28,1,Video5_2,0,187467,11251,17794
29,1,Video7_2,0,150319,3828,637
30,1,Video8_2,0,159025,0,1154
